# RS480/RS482/RS485 candidate debugfs register list
# Format: offset_hex<TAB>name<TAB>access<TAB>source<TAB>notes
# Access `mmio` uses BAR0 byte offsets with RREG32().  Access `mc` uses the
# RS400/RS480 MC indirect index with RREG32_MC().
# These rows are not safe-regs. They are bounded candidates for one-at-a-time
# live read validation through block-scoped candidate files. The legacy
# radeon_rs480_candidate_regs file remains a compatibility alias for the
# current config-aperture cohort.
# Source codes:
#   RM = public register manual text
#   SP = public xorg radeon_reg.h symbol
#   MS = Mesa r300 register header or emit path
#   KS = Linux radeon/rs400 kernel source
#   PB = retained RS482 PM4 decode result
#
# Config aperture candidates (promoted to SAFE_REGS after a clean candidate-node
# read; retained here as the observation cohort that confirmed them readable)
0x0114	CONFIG_MEMSIZE_EMBEDDED	mmio	RM,SP	Embedded memory-size register; read-only in the public register text. Promoted to SAFE_REGS.
0x010c	CONFIG_REG_1_BASE	mmio	RM,SP	Configuration register-space base; read-only in the public register text. Promoted to SAFE_REGS.
0x0110	CONFIG_REG_APER_SIZE	mmio	RM,SP	Configuration register aperture size; read-only in the public register text. Promoted to SAFE_REGS.
#
# MC/GART candidate complement
# Keep AGP_BASE and MC_AGP_LOCATION in safe-regs.  This cohort covers only the
# remaining mixed MMIO/MC rows needed to validate the rs400_gart_info split.
0x0164	AGP_BASE_2	mmio	SP,KS	Upper AGP aperture shadow; cohort=gart_mc.
0x002b	GART_FEATURE_ID	mc	KS	MC indirect GART feature selector; cohort=gart_mc.
0x002c	GART_BASE	mc	KS	MC indirect GART base selector; cohort=gart_mc.
#
# VAP frontend candidates
0x2080	R300_VAP_CNTL	mmio	SP,KS	VAP control word; keep the read-only control surface separate from VAP upload ports; cohort=vap.
0x2140	R300_VAP_CNTL_STATUS	mmio	SP,KS	VAP status word; use this instead of any VAP_PORT_* upload aperture for bounded live validation; cohort=vap.
#
# GA candidates
0x4274	R300_GA_ENHANCE	mmio	SP,KS,MS	GA deadlock and fast-sync control word emitted by the Linux r300 path; cohort=ga.
0x4288	R300_GA_POLY_MODE	mmio	SP,KS,MS	GA polygon-mode control word; bounded GA state validation before any draw-time aperture broadening; cohort=ga.
0x425c	R500_GA_IDLE	mmio	SP,KS	R500-family GA idle status word present in the canonical register corpus; seed the R500 baseline in the shared GA cohort; cohort=ga.
#
# SC candidates
0x43a4	R300_SC_HYPERZ	mmio	RM,SP,PB	HyperZ control word; retained RS482 zpass bundle read back 0x0000001c; cohort=sc.
0x43e0	SC_SCISSOR0	mmio	RM,SP	SC scissor state word; keep validation on the read-safe scissor register, not on packetized draw traffic; cohort=sc.
#
# GB candidates
0x4028	R300_GB_Z_PEQ_CONFIG	mmio	RM,SP,PB	Z tile-size selector; retained RS482 zpass bundle read back 0x00000000; cohort=gb.
#
# RB3D candidates
