# mechanism-map-schema: gororoba-legacy-patch-mechanism-map-v1
# One row per effect atom: a (patch, file) pair, split further where one
# patch carries effects belonging to different native commits (0028).
# native_commit_group values are candidate review buckets, not approved
# commit boundaries; the semantic review decides merges and splits, and
# patch-number adjacency is not the deciding criterion. Tree IDs come
# from docs/legacy-patch-transitions.tsv. evidence_scope repeats the
# README promotion ledger classes; per-patch hardware verdicts stay in
# the referenced steinmarder-r300 status table.
effect_atom	patch_index	patch	input_tree	output_tree	file	symbol	mechanism_id	role	depends_on	supersedes	execution_scope	evidence_scope	default_safety_state	native_commit_group	disposition	evidence_reference	notes
0002.0	0	0002-rs480-cp-mc-cache-flush.patch	9ac2b2c12b51cf8ce051a24984f40f231dde31fd	1f2f4bacf1592a9db625ff963a04af9fb981560f	radeon/radeon_device.c	none	mc-flush-early-crash-telemetry	introduce	none	none	device-init	compile-verified	always-on	MC flush and early crash telemetry	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0003.0	1	0003-rs480-crash-shim-recovery.patch	1f2f4bacf1592a9db625ff963a04af9fb981560f	efc90992b9f2f633b95c2a4c365b26f286cb13b7	radeon/radeon_device.c	none	mc-flush-early-crash-telemetry	extend	none	none	device-init	compile-verified	always-on	MC flush and early crash telemetry	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0004.0	2	0004-rs480-candidate-regs-debugfs.patch	efc90992b9f2f633b95c2a4c365b26f286cb13b7	3476cdc0f58aedcf9d6db2fddaa19ce761e6c387	radeon/radeon_drv.c	none	candidate-status-register-surfaces	introduce	debugfs-registration-root	none	debugfs-read	compile-verified	root-only-read-only-debugfs	Candidate and status register surfaces	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0004.1	2	0004-rs480-candidate-regs-debugfs.patch	efc90992b9f2f633b95c2a4c365b26f286cb13b7	3476cdc0f58aedcf9d6db2fddaa19ce761e6c387	radeon/radeon.h	none	candidate-status-register-surfaces	introduce	debugfs-registration-root	none	debugfs-read	compile-verified	root-only-read-only-debugfs	Candidate and status register surfaces	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0004.2	2	0004-rs480-candidate-regs-debugfs.patch	efc90992b9f2f633b95c2a4c365b26f286cb13b7	3476cdc0f58aedcf9d6db2fddaa19ce761e6c387	radeon/rs400.c	none	candidate-status-register-surfaces	introduce	debugfs-registration-root	none	debugfs-read	compile-verified	root-only-read-only-debugfs	Candidate and status register surfaces	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0005.0	3	0005-rs480-firmware-read-candidate-regs-debugfs.patch	3476cdc0f58aedcf9d6db2fddaa19ce761e6c387	ea90d2d63cf414296c6f0dbc2d84aa1eea707198	radeon/rs400.c	none	candidate-status-register-surfaces	extend	debugfs-registration-root	none	debugfs-read	compile-verified	root-only-read-only-debugfs	Candidate and status register surfaces	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0006.0	4	0006-rs480-cp-me-ram-dump-debugfs.patch	ea90d2d63cf414296c6f0dbc2d84aa1eea707198	8a07ed74d61f0d548b6ab0f5f67d78a081564de9	radeon/radeon_drv.c	none	cp-me-dump-inject-oracle	introduce	debugfs-registration-root	none	debugfs-read	compile-verified	root-only-read-only-debugfs	CP-ME dump, injection, oracle, and hardening	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0006.1	4	0006-rs480-cp-me-ram-dump-debugfs.patch	ea90d2d63cf414296c6f0dbc2d84aa1eea707198	8a07ed74d61f0d548b6ab0f5f67d78a081564de9	radeon/rs400.c	none	cp-me-dump-inject-oracle	introduce	debugfs-registration-root	none	debugfs-read	compile-verified	root-only-read-only-debugfs	CP-ME dump, injection, oracle, and hardening	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0006.2	4	0006-rs480-cp-me-ram-dump-debugfs.patch	ea90d2d63cf414296c6f0dbc2d84aa1eea707198	8a07ed74d61f0d548b6ab0f5f67d78a081564de9	radeon/radeon.h	none	cp-me-dump-inject-oracle	introduce	debugfs-registration-root	none	debugfs-read	compile-verified	root-only-read-only-debugfs	CP-ME dump, injection, oracle, and hardening	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0007.0	5	0007-rs480-cs-parser-init-failure-telemetry.patch	8a07ed74d61f0d548b6ab0f5f67d78a081564de9	6fdcf0fcd953fded1e9f22f02fbf7fe447d91a9a	radeon/radeon_cs.c	none	mc-flush-early-crash-telemetry	extend	none	none	cs-validation	compile-verified	always-on	MC flush and early crash telemetry	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	CS parser init-failure telemetry; absent from the candidate bucket table and filed with the telemetry mechanism
0008.0	6	0008-rs480-cp-me-ram-inject-write-verify-restore.patch	6fdcf0fcd953fded1e9f22f02fbf7fe447d91a9a	ee6db64630ab3cd801671cfc611a94e5c7a9c26d	radeon/radeon.h	none	cp-me-dump-inject-oracle	extend	debugfs-registration-root	none	debugfs-write	compile-verified	root-only-debugfs-write	CP-ME dump, injection, oracle, and hardening	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0008.1	6	0008-rs480-cp-me-ram-inject-write-verify-restore.patch	6fdcf0fcd953fded1e9f22f02fbf7fe447d91a9a	ee6db64630ab3cd801671cfc611a94e5c7a9c26d	radeon/radeon_drv.c	none	cp-me-dump-inject-oracle	extend	debugfs-registration-root	none	debugfs-write	compile-verified	root-only-debugfs-write	CP-ME dump, injection, oracle, and hardening	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0008.2	6	0008-rs480-cp-me-ram-inject-write-verify-restore.patch	6fdcf0fcd953fded1e9f22f02fbf7fe447d91a9a	ee6db64630ab3cd801671cfc611a94e5c7a9c26d	radeon/rs400.c	none	cp-me-dump-inject-oracle	extend	debugfs-registration-root	none	debugfs-write	compile-verified	root-only-debugfs-write	CP-ME dump, injection, oracle, and hardening	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0009.0	7	0009-rs480-debugfs-init-dri-minor-root.patch	ee6db64630ab3cd801671cfc611a94e5c7a9c26d	6514d8c7b8b2137829e332071d626c48b9c09e1a	radeon/radeon.h	none	debugfs-registration-root	introduce	none	none	device-init	compile-verified	root-only-read-only-debugfs	Debugfs registration infrastructure	standalone	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0009.1	7	0009-rs480-debugfs-init-dri-minor-root.patch	ee6db64630ab3cd801671cfc611a94e5c7a9c26d	6514d8c7b8b2137829e332071d626c48b9c09e1a	radeon/radeon_device.c	none	debugfs-registration-root	introduce	none	none	device-init	compile-verified	root-only-read-only-debugfs	Debugfs registration infrastructure	standalone	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0009.2	7	0009-rs480-debugfs-init-dri-minor-root.patch	ee6db64630ab3cd801671cfc611a94e5c7a9c26d	6514d8c7b8b2137829e332071d626c48b9c09e1a	radeon/radeon_drv.c	none	debugfs-registration-root	introduce	none	none	device-init	compile-verified	root-only-read-only-debugfs	Debugfs registration infrastructure	standalone	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0009.3	7	0009-rs480-debugfs-init-dri-minor-root.patch	ee6db64630ab3cd801671cfc611a94e5c7a9c26d	6514d8c7b8b2137829e332071d626c48b9c09e1a	radeon/rs400.c	none	debugfs-registration-root	introduce	none	none	device-init	compile-verified	root-only-read-only-debugfs	Debugfs registration infrastructure	standalone	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0010.0	8	0010-rs480-mc-benign-candidate-regs-debugfs.patch	6514d8c7b8b2137829e332071d626c48b9c09e1a	c1582e7812c03ca24655c61f9db78bca51e3b9f6	radeon/rs400.c	none	candidate-status-register-surfaces	extend	debugfs-registration-root	none	debugfs-read	compile-verified	root-only-read-only-debugfs	Candidate and status register surfaces	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
