# schema: gororoba-base-delta-map-v1
# upstream-subtree-tree: 06a00c78fc5be13ed90c2a2c6973f272d993b6a3
# base-manifest-sha256: 1f085124056f24cdfe26ff3c19e615c32cefdb5fef5a9343205acce17e7d94c7
# diff-engine: python-difflib
# diff-context: 3
file	symbol_or_range	hunk_id	parent_hunk	normalized_diff_sha256	origin_kind	mechanism_lane	materialization_kind	upstream_origin_commit	legacy_origin	execution_scope	evidence_scope	future_source_commit	notes
atombios_crtc.c	atombios_crtc_set_base	b072f56800c83878	atombios_crtc.c#1	45ee6121ca3b491765271b4a6ef5d9f48f617c85ce669550ee2c744e3136f04e	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	a22461eddaf6a0f82ca2d02de2e180dcc16b3937	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
atombios_crtc.c	atombios_crtc_set_base_atomic	8627d2747302512f	atombios_crtc.c#2	7d51450a266f7a45aed938ca569c16b2a4cde638e3076b9c3cda406bda853ebc	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	a22461eddaf6a0f82ca2d02de2e180dcc16b3937	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
atombios_crtc.c	atombios_helper_funcs	e01b22317102c593	atombios_crtc.c#3	45ee6121ca3b491765271b4a6ef5d9f48f617c85ce669550ee2c744e3136f04e	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	a22461eddaf6a0f82ca2d02de2e180dcc16b3937	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
atombios_crtc.c	atombios_helper_funcs	09e8592847a67759	atombios_crtc.c#3	7d51450a266f7a45aed938ca569c16b2a4cde638e3076b9c3cda406bda853ebc	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	a22461eddaf6a0f82ca2d02de2e180dcc16b3937	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
evergreen.c	evergreen_gpu_check_soft_reset	76c9a7f11545bd9e	evergreen.c#1	de69a39a0d0e075e8f42a4a059443b18e1961c4edc28f52a18bbb66a00c63002	project-local	Palm/Wrestler	observed-in-legacy-base	none	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	evergreen_gpu_check_soft_reset on every evergreen-family ASIC	compile-verified; the forced GFX+DMA reset coupling is hypothesized from GFX-path lockup behavior and Palm silicon not run		
evergreen.c	evergreen_gpu_soft_reset	14ba680e41d7fddc	evergreen.c#2	1a7a6505537049652bceafb99e775d926bf483833997c169eb9c90fe40c9c4fc	project-local	Palm/Wrestler	observed-in-legacy-base	none	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	evergreen_gpu_soft_reset MC-busy abort on every evergreen-family ASIC	compile-verified; the mid-transaction MC hazard on CHIP_PALM is hypothesized and Palm silicon not run		
evergreen.c	defines evergreen_gpu_pci_config_reset_safe	79802d90dc6dddd4	evergreen.c#3	157f01b9d1fe867408efdf75f7788b72bc1c2b6bfdb56d12a61801c6ea91b00f	project-local	Palm/Wrestler	observed-in-legacy-base	none	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	evergreen_gpu_pci_config_reset_safe; CHIP_PALM refuses by default	compile-verified; module parameters observed via modinfo on the RS482 host; Palm silicon not run		refuse-by-default gate radeon_palm_pci_reset_unsafe; the PCIe root-complex stall is reported for the ThinkPad X130e in the retained legacy sources
pptable.h	_ClockInfoArray	c5055cf858ab3126	pptable.h#1	761fc4902a789f9edc28d76413ccbe3eae60ea36d20186ede1c0ad8431315067	exact-upstream-backport	shared-radeon	observed-in-legacy-base	19158c7332468bc28572bdca428e89c7954ee1b1	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	_ClockInfoArray layout on every radeon ASIC	compile-verified; byte-identical to the upstream change		upstream commented the annotation out in exactly this form
radeon.h	file scope	7f04132e90043646	radeon.h#1	ae27c2d66c4ad492ed5ac738a1e7c93e71ab5c42c35e7b5a77fec9fc6f46ee44	project-local	kernel-version-compatibility	observed-in-legacy-base	none	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	every translation unit including radeon.h	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		supplies KERNEL_VERSION and LINUX_VERSION_CODE to the compatibility guards
radeon.h	file scope	ced9a31a79d7fd20	radeon.h#2	d12e9e52fe27d3aa258bed6925d31b751943874d35eb70c7f2e46a3ef439159c	exact-upstream-backport	shared-radeon	observed-in-legacy-base	f6e8dc9edf963dbc99085e54f6ced6da9daa6100	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	every translation unit including radeon.h	compile-verified; byte-identical include at the same insertion point		
radeon.h	defines radeon_palm_pci_reset_unsafe..radeon_rs480_safe_regs	71d8848947f0c762	radeon.h#3	0691d606864f68cc8340ea66d67e21d28360c7bdddc92c2cac4b3aef7f5a4ae2	project-local	register-policy	observed-in-legacy-base	none	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	module load and parameter surface on every radeon ASIC	compile-verified; module parameters observed via modinfo on the RS482 host; Palm silicon not run		declares the two policy gates: radeon_palm_pci_reset_unsafe (Palm reset override, default refuse) and radeon_rs480_safe_regs (RS48X debugfs exposure, default on)
radeon_asic.h	defines evergreen_gpu_pci_config_reset_safe	ef518858e0a6d5fc	radeon_asic.h#1	4654f9e491d5b2fbc0d2b4890270f1ae86767880f3ea8739ed2ca00533456c66	project-local	Palm/Wrestler	observed-in-legacy-base	none	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	evergreen_gpu_pci_config_reset_safe declaration for radeon_kms.c	compile-verified; module parameters observed via modinfo on the RS482 host; Palm silicon not run		
radeon_device.c	radeon_suspend_kms	882955bde23ea734	radeon_device.c#1	5d6ae861571b2a0d60bc30a4ad907c37fef30ceda56e939484ffbc367111f7a1	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	7910d69376cde30e5871970d97d1a2e360568474	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		carries the 7.x-side call from the named upstream commit under LINUX_VERSION_CODE >= 7.0, reindented into the retained v6.18 body
radeon_device.c	radeon_suspend_kms	f6fe7d97fe9fa2c5	radeon_device.c#1	b0f598d01bbd58549e006393388c4c317b1e32991f2525cd646dca2fe04720c9	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	7910d69376cde30e5871970d97d1a2e360568474	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
